ORF,Mtb_ortholog,functional_category,name,negative_call,positive_call,desc,sites,mean_ctrl,mean_exp,log2FC,sum_ctrl,sum_exp,delta_mean,pvalue,adj_pvalue
MB2828,Rv2805,conserved hypotheticals,NA,GA,NE,Mobile element protein,3,489.7,677.9,0.47,5876.9,8134.64,188.1,0.8907,1
MB2829,Rv2806,cell wall and cell processes,NA,GA,NE,POSSIBLE MEMBRANE PROTEIN,6,489.4,226.3,-1.11,11744.8,5431.44,-263.1,0.2944,0.84813
MB2830,Rv2807,conserved hypotheticals,NA,GA,NE,Mobile element protein,11,109.3,39.3,-1.45,4811.1,1731.27,-70,0.0284,0.48634
MB2831,Rv2808,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,9,71.6,103.6,0.53,2577.8,3729.91,32,0.6774,1
MB2832,Rv2809,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,8,224.2,72.8,-1.61,7173.5,2329.15,-151.4,0.1516,0.73793
MB2833c,Rv2810c,insertion seqs and phages,NA,NE,NE,PROBABLE TRANSPOSASE,12,99.4,125.8,0.34,4772.3,6039.11,26.4,0.7103,1
MB2834,Rv2811,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,2,77.1,0.7,-5.49,617,5.9,-76.4,0.1331,0.70562
MB2835,Rv2812,insertion seqs and phages,NA,NE,NE,PUTATIVE TRANSPOSASE [FIRST PART],7,22.2,6.6,-1.61,621.4,184.56,-15.6,0.3278,0.87261
MB2836,Rv2812,insertion seqs and phages,NA,NE,NE,PUTATIVE TRANSPOSASE [SECOND PART],9,67.1,28.7,-1.2,2415.5,1032.16,-38.4,0.5826,0.98325
MB2837,Rv2813,conserved hypotheticals,NA,NE,NE,"Type II secretory pathway, component ExeA",9,11.8,34.7,1.48,423.7,1248.11,22.9,0.1966,0.77971
MB2838c,Rv2814c,insertion seqs and phages,NA,NE,NE,PROBABLE TRANSPOSASE,21,169.6,66.4,-1.34,14246.9,5581.62,-103.2,0.3575,0.87962
MB2839c,Rv2815c,insertion seqs and phages,NA,NE,NE,PROBABLE TRANSPOSASE,4,96.7,64.5,-0.58,1546.9,1032.76,-32.1,0.7674,1
MB2840c,Rv2816c,conserved hypotheticals,cas2,NE,NE,CRISPR-associated protein Cas2,13,45.4,92,1,2362.2,4782.59,46.5,0.49370000000000003,0.93536
MB2841c,Rv2817c,conserved hypotheticals,cas1,NE,GD,CRISPR-associated protein Cas1,20,18.5,9.6,-0.88,1477.7,767.65,-8.9,0.4843,0.93536
MB2842c,Rv2818c,conserved hypotheticals,csm6,NE,NE,CRISPR-associated protein Csm6,24,52.2,80.6,0.62,5015.6,7733.57,28.3,0.3897,0.90409
MB2843c,Rv2819c,conserved hypotheticals,csm5,NE,NE,"CRISPR-associated protein, Csm5 family",22,233.3,76.4,-1.6,20528.7,6718.89,-156.9,0.2711,0.83328
MB2844c,Rv2820c,conserved hypotheticals,csm4,NE,NE,"CRISPR-associated RAMP protein, Csm4 family",19,79.2,222.3,1.48,6020.8,16891.72,143,0.0956,0.65462
MB2845c,Rv2821c,conserved hypotheticals,csm3,NE,NE,CRISPR-associated RAMP Csm3,13,111.5,75.5,-0.56,5799.2,3924.22,-36.1,0.7608,1
MB2846c,Rv2822c,conserved hypotheticals,csm2,NE,NE,"CRISPR-associated protein, Csm2 family",12,89.1,69.3,-0.36,4279,3327.65,-19.8,0.6987,1
MB2847c,Rv2823c,conserved hypotheticals,cas10,NE,NE,"CRISPR-associated protein, Csm1 family",46,125.5,112.8,-0.15,23097.8,20749.53,-12.8,0.8145,1
MB2848c,Rv2824c,conserved hypotheticals,cas6,NE,NE,CRISPR-associated endoribonuclease Cas6,17,140.7,133.5,-0.07,9565.8,9079.64,-7.1,0.9292,1
MB2849c,Rv2825c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,4,110.1,0.5,-6.17,1761.3,8.75,-109.5,0,0
MB2850c,Rv2826c,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,9,102.7,113.8,0.15,3696.1,4098.09,11.2,0.8472,1
MB2851c,Rv2827c,conserved hypotheticals,NA,ES,ES,HYPOTHETICAL PROTEIN,13,1.6,0,-1.4,85.2,0,-1.6,1,1
MB2852A,Rv2828A,conserved hypotheticals,NA,NE,NE,Conserved hypothetical protein,1,331.2,267,-0.31,1324.9,1067.9,-64.3,0.8827,1
MB2852c,Rv2828c,conserved hypotheticals,NA,NE,ES,CONSERVED HYPOTHETICAL PROTEIN,4,30.6,0.6,-4.28,489,9.91,-29.9,0.0508,0.56144
MB2853c,Rv2829c,"virulence, detoxification, adaptation",vapc22,NE,NE,possible toxin vapc22,4,60,15.3,-1.91,959.7,244.16,-44.7,0.465,0.93536
MB2854c,Rv2830c,insertion seqs and phages,vapb22,NE,NE,possible antitoxin vapb22,1,0,0,0,0,0,0,1,1
MB2855,Rv2831,lipid metabolism,echA16,NE,NE,PROBABLE ENOYL-COA HYDRATASE ECHA16 (ENOYL HYDRASE) (UNSATURATED ACYL-COA HYDRATASE) (CROTONASE),6,153.9,46.2,-1.72,3694.1,1107.95,-107.8,0.6061,0.99711
MB2856c,Rv2832c,cell wall and cell processes,ugpC,GD,NE,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER UGPC,7,1.7,107.5,5.31,48.6,3011.35,105.8,0.2165,0.79792
MB2857c,Rv2833c,cell wall and cell processes,ugpB,GD,GD,PROBABLE Sn-GLYCEROL-3-PHOSPHATE-BINDING LIPOPROTEIN UGPB,17,9.3,10.4,0.15,630.1,704.14,1.1,0.9065,1
MB2858c,Rv2834c,cell wall and cell processes,ugpE,NE,GD,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER UGPE,9,66.6,9,-2.75,2396.5,324.71,-57.5,0.0137,0.40161
MB2859c,Rv2835c,cell wall and cell processes,ugpAb,NE,NE,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER UGPAB [SECOND PART],11,91.3,116.2,0.35,4016.3,5114.14,25,0.7335,1
MB2860c,Rv2835c,cell wall and cell processes,ugpAa,NE,NE,PROBABLE Sn-GLYCEROL-3-PHOSPHATE TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER UGPAA [FIRST PART],4,136.1,0,-7.1,2178.3,0,-136.1,0.0193,0.43596
MB2861c,Rv2836c,information pathways,dinF,NE,NE,POSSIBLE DNA-DAMAGE-INDUCIBLE PROTEIN F DINF,20,84.5,57.6,-0.54,6761.3,4610.46,-26.9,0.478,0.93536
MB2862c,Rv2837c,conserved hypotheticals,nrnA,ES,ES,Cyclic-di-AMP phosphodiesterase MSMEG_2630,12,4.2,0,-2.37,200.9,0,-4.2,1,1
MB2863c,Rv2838c,information pathways,rbfA,NE,ES,PROBABLE RIBOSOME-BINDING FACTOR A RBFA (P15B PROTEIN),8,91.1,55.4,-0.71,2916.7,1772.52,-35.8,0.4973,0.93536
MB2864c,Rv2839c,information pathways,infB,ES,ES,PROBABLE TRANSLATION INITIATION FACTOR IF-2 INFB,25,0,0,-0.03,2,0,-0,1,1
MB2865c,Rv2840c,conserved hypotheticals,NA,NE,NE,COG2740: Predicted nucleic-acid-binding protein implicated in transcription termination,7,179.1,144.9,-0.3,5014.8,4057.75,-34.2,0.8276,1
MB2866c,Rv2841c,information pathways,nusA,ES,ES,PROBABLE N UTILIZATION SUBSTANCE PROTEIN A NUSA,13,1.1,0,-1.06,56.1,0,-1.1,0.2468,0.81029
MB2867c,Rv2842c,conserved hypotheticals,rimP,NE,ES,Bacterial ribosome SSU maturation protein RimP,5,147.1,59.9,-1.28,2942.9,1198.04,-87.2,0.3602,0.88077
MB2868,Rv2843,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED TRANSMEMBRANE ALANINE RICH PROTEIN,7,33,15.9,-1.01,924.2,445.12,-17.1,0.5636,0.97686
MB2869,Rv2844,conserved hypotheticals,NA,NE,NE,conserved alanine rich protein,4,0,0,0,0,0,0,1,1
MB2870c,Rv2845c,information pathways,proS,ES,ES,probable prolyl-trna synthetase pros (proline--trna ligase) (prors) (global rna synthesis factor) (proline translase),28,0,0,0,0,0,0,1,1
MB2871c,Rv2846c,cell wall and cell processes,efpA,ES,ES,POSSIBLE INTEGRAL MEMBRANE EFFLUX PROTEIN EFPA,32,0,3.4,2.14,0,437.01,3.4,0.4884,0.93536
MB2872c,Rv2847c,intermediary metabolism and respiration,cysG,NE,GD,POSSIBLE MULTIFUNCTIONAL ENZYME SIROHEME SYNTHASE CYSG: UROPORPHYRIN-III C-METHYLTRANSFERASE (UROGEN III METHYLASE) (SUMT) (UROPORPHYRINOGEN III METHYLASE) (UROM) + PRECORRIN-2 OXIDASE + FERROCHELATASE,16,76.4,8.9,-2.97,4888.9,569.52,-67.5,0.0068,0.34818
MB2873c,Rv2848c,intermediary metabolism and respiration,cobB,NE,NE,"PROBABLE COBYRINIC ACID A,C-DIAMIDE SYNTHASE COBB",22,195.1,97.2,-1,17166.1,8550.75,-97.9,0.1527,0.73936
MB2874c,Rv2849c,intermediary metabolism and respiration,cobO,NE,NE,PROBABLE COB(I)ALAMIN ADENOSYLTRANSFERASE COBO (CORRINOID ADENOSYLTRANSFERASE) (CORRINOID ADOTRANSFERASE ACTIVITY),6,151,320.6,1.08,3624.3,7695.04,169.6,0.3803,0.89541
MB2875c,Rv2850c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE MAGNESIUM CHELATASE,15,42.1,644.9,3.9,2528.2,38694.01,602.8,0.0133,0.39851
MB2876c,Rv2851c,intermediary metabolism and respiration,NA,NE,NE,gcn5-related n-acetyltransferase,9,107.4,120.9,0.17,3867.6,4352.49,13.5,0.8577,1
MB2877c,Rv2852c,intermediary metabolism and respiration,mqo,NE,NE,PROBABLE MALATE:QUINONE OXIDOREDUCTASE MQO (MALATE DEHYDROGENASE [ACCEPTOR]),19,72.9,271.7,1.88,5543.9,20646.78,198.7,0.0915,0.65462
MB2878,Rv2853,PE/PPE,PE_PGRS48,NE,NE,pe-pgrs family protein pe_pgrs48,30,87.7,137.8,0.65,10528.9,16540.54,50.1,0.141,0.72196
MB2879,Rv2854,conserved hypotheticals,NA,NE,NE,Lysophospholipase (EC 3.1.1.5),17,61.4,33.9,-0.84,4174.6,2303.02,-27.5,0.5116,0.94279
MB2880,Rv2855,intermediary metabolism and respiration,mtr,NE,ES,nadph-dependent mycothiol reductase mtr,28,51.6,15.2,-1.7,5775.2,1703.03,-36.4,0.1549,0.73936
MB2881,Rv2856,cell wall and cell processes,nicT,GD,NE,POSSIBLE NICKEL-TRANSPORT INTEGRAL MEMBRANE PROTEIN NICT,14,49,88.9,0.85,2742.9,4979.4,39.9,0.4477,0.92702
MB2882c,Rv2857c,intermediary metabolism and respiration,NA,NE,NE,PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE,11,68.4,93.2,0.44,3009.8,4100.59,24.8,0.7395,1
MB2883c,Rv2858c,intermediary metabolism and respiration,aldC,NE,NE,PROBABLE ALDEHYDE DEHYDROGENASE ALDC,14,31.3,56.8,0.84,1750.6,3182.77,25.6,0.4959,0.93536
MB2884c,Rv2859c,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE AMIDOTRANSFERASE,17,135.1,53.8,-1.31,9189.6,3657.07,-81.4,0.1717,0.75328
MB2885c,Rv2860c,intermediary metabolism and respiration,glnA4,NE,NE,PROBABLE GLUTAMINE SYNTHETASE GLNA4 (GLUTAMINE SYNTHASE) (GS-II),27,90.2,92.6,0.04,9738.8,9998.35,2.4,0.9513,1
MB2886c,Rv2861c,intermediary metabolism and respiration,mapB,NE,GD,methionine aminopeptidase mapb (map) (peptidase m),11,2.2,1,-0.66,98,45.65,-1.2,0.8776,1
MB2887A,Rv2862A,"virulence, detoxification, adaptation",vapB23,NE,NE,Possible antitoxin VapB23,1,90,53.3,-0.75,360.1,213.25,-36.7,0.6668,1
MB2887c,Rv2862c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,4,287.4,62.7,-2.18,4598.1,1003.98,-224.6,0.0291,0.48634
MB2888,Rv2863,"virulence, detoxification, adaptation",vapc23,NE,NE,possible toxin vapc23,4,742.4,1844.7,1.31,11877.8,29515.69,1102.4,0.3639,0.88077
MB2889c,Rv2864c,cell wall and cell processes,NA,NE,NE,POSSIBLE PENICILLIN-BINDING LIPOPROTEIN,22,114.9,59.5,-0.94,10107.9,5233.38,-55.4,0.1263,0.69658
MB2890,Rv2865,"virulence, detoxification, adaptation",relf,NE,NE,antitoxin relf,3,334.2,87.1,-1.93,4010,1045.08,-247.1,0.1421,0.7221
MB2891,Rv2866,"virulence, detoxification, adaptation",relg,NE,NE,toxin relg,5,243.4,481.5,0.98,4869,9629.63,238,0.3157,0.86569
MB2892c,Rv2867c,intermediary metabolism and respiration,NA,NE,NE,gcn5-related n-acetyltransferase,9,117.6,518.7,2.13,4233.5,18671.61,401.1,0.0233,0.4689
MB2893c,Rv2868c,conserved hypotheticals,gcpE,ES,ES,PROBABLE GCPE PROTEIN,14,19,9.8,-0.88,1061.9,549.95,-9.1,0.4393,0.91976
MB2894c,Rv2869c,cell wall and cell processes,rip,NE,NE,membrane bound metalloprotease,21,22.6,37.2,0.7,1896.7,3126.31,14.6,0.3776,0.89288
MB2895c,Rv2870c,intermediary metabolism and respiration,dxr,ES,GD,PROBABLE 1-DEOXY-D-XYLULOSE 5-PHOSPHATE REDUCTOISOMERASE DXR (DXP REDUCTOISOMERASE) (1-DEOXYXYLULOSE-5-PHOSPHATE REDUCTOISOMERASE),14,26,15.6,-0.7,1456.7,873.93,-10.4,0.6724,1
MB2896,Rv2871,"virulence, detoxification, adaptation",vapb43,ES,GD,possible antitoxin vapb43,6,29.3,7.8,-1.79,702.7,186.55,-21.5,1,1
MB2897,Rv2872,"virulence, detoxification, adaptation",vapc43,NE,NE,possible toxin vapc43. contains pin domain.,11,243.4,211.6,-0.2,10708,9308.43,-31.8,0.8019,1
MB2898,Rv2873,cell wall and cell processes,mpt83,NE,NE,cell surface lipoprotein mpt83 (lipoprotein p23),12,56.4,81.7,0.53,2704.9,3923.45,25.4,0.5787,0.98296
MB2899,Rv2874,intermediary metabolism and respiration,dipZ,NE,NE,POSSIBLE INTEGRAL MEMBRANE C-TYPE CYTOCHROME BIOGENESIS PROTEIN DIPZ,44,175.5,200,0.19,30891,35201.4,24.5,0.7407,1
MB2900,Rv2875,cell wall and cell processes,mpt70,NE,NE,major secreted immunogenic protein mpt70,11,156.3,118.8,-0.39,6877.8,5226.1,-37.5,0.7384,1
MB2901,Rv2876,cell wall and cell processes,NA,NE,NE,POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN,1,0,0.3,0.35,0,1.11,0.3,1,1
MB2902c,Rv2877c,cell wall and cell processes,NA,NE,NE,PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN,17,301.2,200.7,-0.58,20481.1,13650.25,-100.5,0.3661,0.882
MB2903c,Rv2878c,cell wall and cell processes,mpt53,NE,NE,soluble secreted antigen mpt53 precursor,7,97.9,169.5,0.79,2740.5,4745.7,71.6,0.5025,0.93644
MB2904c,Rv2880c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,17,166.8,290.2,0.8,11341,19731.37,123.4,0.4348,0.91746
MB2905c,Rv2881c,lipid metabolism,cdsA,ES,NE,PROBABLE INTEGRAL MEMBRANE PHOSPHATIDATE CYTIDYLYLTRANSFERASE CDSA (CDP-DIGLYCERIDE SYNTHETASE) (CDP-DIGLYCERIDE PYROPHOSPHORYLASE) (CDP-DIACYLGLYCEROL SYNTHASE) (CDS) (CTP:PHOSPHATIDATE CYTIDYLYLTRANSFERASE) (CDP-DAG SYNTHASE) (CDP-DG SYNTHETASE),10,77.8,62.8,-0.3,3112,2513.39,-15,0.8795,1
MB2906c,Rv2882c,information pathways,frr,ES,ES,RIBOSOME RECYCLING FACTOR FRR (RIBOSOME RELEASING FACTOR) (RRF),15,0,0,0,0,0,0,1,1
MB2907c,Rv2883c,intermediary metabolism and respiration,pyrH,ES,NE,PROBABLE URIDYLATE KINASE PYRH (UK) (URIDINE MONOPHOSPHATE KINASE) (UMP KINASE),9,0,0,0,0,0,0,1,1
MB2908,Rv2884,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,14,120,195.7,0.7,6720.7,10959.27,75.7,0.3532,0.87803
MB2909c,Rv2885c,insertion seqs and phages,NA,NE,NE,probable transposase,18,68.9,123,0.83,4960.1,8857.41,54.1,0.1592,0.74151
MB2910c,Rv2886c,insertion seqs and phages,NA,NE,NE,PROBABLE RESOLVASE,20,188.9,260.3,0.46,15113.4,20826.21,71.4,0.5279,0.95092
MB2911,Rv2887,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN,7,50.9,211,2.03,1426.4,5909.03,160.1,0.0441,0.53772
MB2912c,Rv2888c,intermediary metabolism and respiration,amiC,NE,NE,PROBABLE AMIDASE AMIC (AMINOHYDROLASE),31,235.4,181.8,-0.37,29189.5,22543.01,-53.6,0.3972,0.90773
MB2913c,Rv2889c,information pathways,tsf,ES,ES,PROBABLE ELONGATION FACTOR TSF (EF-TS),10,0,0,0,0,0,0,1,1
MB2914c,Rv2890c,information pathways,rpsB,ES,ES,30s ribosomal protein s2 rpsb,9,0,0,0,0,0,0,1,1
MB2915,Rv2891,conserved hypotheticals,NA,NE,NE,Membrane proteins related to metalloendopeptidases,11,66.6,161.2,1.26,2929.2,7090.6,94.6,0.2879,0.84293
MB2916c,Rv2892c,PE/PPE,PPE45,NE,NE,ppe family protein ppe45,18,263.2,225.1,-0.22,18950.3,16205.09,-38.1,0.7869,1
MB2917,Rv2893,intermediary metabolism and respiration,NA,NE,NE,POSSIBLE OXIDOREDUCTASE,9,104.5,226.7,1.11,3763.3,8160.58,122.1,0.2725,0.83372
MB2918c,Rv2894c,insertion seqs and phages,xerC,NE,NE,PROBABLE INTEGRASE/RECOMBINASE XERC,10,195.3,199.9,0.03,7811,7996.97,4.6,0.977,1
MB2919c,Rv2895c,intermediary metabolism and respiration,viuB,NE,NE,POSSIBLE MYCOBACTIN UTILIZATION PROTEIN VIUB,10,187.6,216.3,0.2,7504.5,8651.15,28.7,0.7683,1
MB2920c,Rv2896c,conserved hypotheticals,dprA,NE,NE,Rossmann fold nucleotide-binding protein Smf possibly involved in DNA uptake,18,194.4,310.4,0.67,13999.3,22350.15,116,0.3038,0.8578
MB2921c,Rv2897c,conserved hypotheticals,NA,NE,NE,"AAA+ ATPase superfamily protein YifB/ComM, associated with DNA recombination",12,115.2,24.8,-2.17,5528.2,1191.62,-90.3,0.0467,0.54358
MB2922c,Rv2898c,conserved hypotheticals,NA,NE,NE,UPF0102 protein YraN,4,85.9,144.3,0.74,1373.8,2308.66,58.4,0.83,1
MB2923c,Rv2899c,intermediary metabolism and respiration,fdhD,NE,NE,possible fdhd protein homolog,9,121,69.7,-0.79,4356.9,2510.56,-51.3,0.4947,0.93536
MB2924c,Rv2900c,intermediary metabolism and respiration,fdhF,NE,NE,"POSSIBLE FORMATE DEHYDROGENASE H FDHF (FORMATE-HYDROGEN-LYASE-LINKED, SELENOCYSTEINE-CONTAINING POLYPEPTIDE) (FORMATE DEHYDROGENASE-H ALPHA SUBUNIT) (FDH-H)",29,113.8,294.5,1.36,13197.6,34166.76,180.8,0.0232,0.4689
MB2925c,Rv2901c,conserved hypotheticals,NA,NE,NE,Protein often found in Actinomycetes clustered with signal peptidase and/or RNaseHII,9,80.9,264.1,1.69,2911.9,9505.8,183.2,0.0627,0.59958
MB2926c,Rv2902c,information pathways,rnhB,NE,NE,PROBABLE RIBONUCLEASE HII PROTEIN RNHB (RNASE HII),11,73.4,73.4,0,3229.2,3231.57,0.1,0.9991,1
MB2927c,Rv2903c,cell wall and cell processes,lepB,ES,ES,PROBABLE SIGNAL PEPTIDASE I LEPB (SPASE I) (LEADER PEPTIDASE I).,12,0,0,0,0,0,0,1,1
MB2928c,Rv2904c,information pathways,rplS,NE,NE,50s ribosomal protein l19 rpls,4,40,144.7,1.83,639.5,2314.6,104.7,0.4709,0.93536
MB2929,Rv2905,cell wall and cell processes,lppW,NE,NE,PROBABLE CONSERVED ALANINE RICH LIPOPROTEIN LPPW,14,149.6,62.2,-1.25,8376.8,3481.31,-87.4,0.0317,0.49129
MB2930c,Rv2906c,information pathways,trmD,ES,NE,PROBABLE TRNA (GUANINE-N1)-METHYLTRANSFERASE TRMD (M1G-METHYLTRANSFERASE) (TRNA [GM37] METHYLTRANSFERASE),9,0,3.1,2.03,0,111.44,3.1,1,1
MB2931c,Rv2907c,information pathways,rimM,ES,NE,PROBABLE 16S RRNA PROCESSING PROTEIN RIMM,7,48.1,28.8,-0.72,1346.3,807.09,-19.3,0.6096,0.99872
MB2932c,Rv2908c,conserved hypotheticals,NA,ES,NE,KH domain RNA binding protein YlqC,3,0,0.8,0.85,0,9.57,0.8,0.176,0.75779
MB2933c,Rv2909c,information pathways,rpsP,ES,NE,30s ribosomal protein s16 rpsp,7,0,0.1,0.1,0,2.03,0.1,1,1
MB2934c,Rv2910c,conserved hypotheticals,NA,NE,NE,CONSERVED HYPOTHETICAL PROTEIN,9,104.8,80.7,-0.37,3774.6,2904.18,-24.2,0.6599,1
MB2935,Rv2911,cell wall and cell processes,dacB2,NE,NE,probable penicillin-binding protein dacb2 (d-alanyl-d-alanine carboxypeptidase) (dd-peptidase) (dd-carboxypeptidase) (pbp) (dd-transpeptidase) (serine-type d-ala-d-ala carboxypeptidase) (d-amino acid hydrolase),7,236,608.1,1.36,6607.2,17026.2,372.1,0.264,0.82524
MB2936c,Rv2912c,regulatory proteins,NA,NE,NE,PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY),9,55,63.2,0.2,1978.3,2276.76,8.3,0.9003,1
MB2937c,Rv2913c,intermediary metabolism and respiration,NA,NE,NE,possible d-amino acid aminohydrolase (d-amino acid hydrolase),29,177.2,237.7,0.42,20553.8,27576.15,60.5,0.4701,0.93536
MB2938c,Rv2914c,regulatory proteins,pknI,NE,NE,PROBABLE TRANSMEMBRANE SERINE/THREONINE-PROTEIN KINASE I PKNI (PROTEIN KINASE I) (STPK I) (PHOSPHORYLASE B KINASE KINASE) (HYDROXYALKYL-PROTEIN KINASE),26,129.1,242.5,0.9,13421.3,25221.11,113.5,0.3368,0.87275
MB2939c,Rv2915c,conserved hypotheticals,NA,NE,NE,Xaa-Pro dipeptidase (EC 3.4.13.9),11,194.3,421.5,1.11,8549.3,18544.01,227.2,0.1173,0.68307
MB2940c,Rv2916c,cell wall and cell processes,ffh,NE,NE,probable signal recognition particle protein ffh (fifty-four homolog) (srp protein),7,1.6,0,-1.36,43.7,0,-1.6,1,1
MB2941,Rv2917,conserved hypotheticals,NA,NE,NE,DNA or RNA helicase of superfamily protein II,25,233.5,170,-0.46,23350.1,16998.77,-63.5,0.3624,0.88077
MB2942c,Rv2918c,intermediary metabolism and respiration,glnD,NE,NE,PROBABLE [PROTEIN-PII] URIDYLYLTRANSFERASE GLND (PII URIDYLYL-TRANSFERASE) (URIDYLYL REMOVING ENZYME) (UTASE),24,205.4,62.1,-1.71,19715,5961.61,-143.3,0.0193,0.43596
MB2943c,Rv2919c,regulatory proteins,glnB,NE,NE,PROBABLE NITROGEN REGULATORY PROTEIN P-II GLNB,7,181.5,0.3,-7.19,5081.2,7.01,-181.2,0.0222,0.45583
MB2944c,Rv2920c,cell wall and cell processes,amt,NE,NE,PROBABLE AMMONIUM-TRANSPORT INTEGRAL MEMBRANE PROTEIN AMT,17,104.1,185.3,0.83,7082,12602.56,81.2,0.2657,0.82737
MB2945c,Rv2921c,cell wall and cell processes,ftsY,ES,ES,probable cell division protein ftsy (srp receptor) (signal recognition particle receptor),12,0,0,0,0,0,0,1,1
MB2946c,Rv2922c,cell wall and cell processes,smc,NE,NE,PROBABLE CHROMOSOME PARTITION PROTEIN SMC,36,108.6,71.8,-0.59,15635.4,10345.11,-36.7,0.2338,0.809
MB2947c,Rv2922A,intermediary metabolism and respiration,acyP,NE,NE,PROBABLE ACYLPHOSPHATASE ACYP (ACYLPHOSPHATE PHOSPHOHYDROLASE),1,418.5,0,-8.71,1674.2,0,-418.5,0.3331,0.87261
MB2948c,Rv2923c,conserved hypotheticals,NA,NE,NE,"Predicted redox protein, regulator of disulfide bond formation",4,62.3,49.7,-0.32,996.2,795.5,-12.5,0.7573,1
MB2949c,Rv2924c,information pathways,fpg,NE,NE,PROBABLE FORMAMIDOPYRIMIDINE-DNA GLYCOSYLASE FPG (FAPY-DNA GLYCOSYLASE),14,257.1,471.2,0.87,14395.7,26384.88,214.1,0.1895,0.77053
MB2950c,Rv2925c,information pathways,rnc,ES,GD,PROBABLE RIBONUCLEASE III RNC (RNASE III),11,0,0,0,0,0,0,1,1
MB2951c,Rv2926c,conserved hypotheticals,NA,NE,GD,"FIG01269488: protein, clustered with ribosomal protein L32p",5,8.8,15.4,0.74,176.2,307.24,6.6,0.9578,1
MB2952c,Rv2927c,conserved hypotheticals,NA,ES,GD,FIG00814129: Possible chaperone,12,15.6,2.6,-2.21,747.6,123.82,-13,0.6099,0.9988
MB2953,Rv2928,lipid metabolism,tesA,ES,ES,PROBABLE THIOESTERASE TESA,25,54.3,17.8,-1.56,5434,1775.89,-36.6,0.1975,0.77983
MB2954,Rv2929,conserved hypotheticals,NA,NE,NE,HYPOTHETICAL PROTEIN,7,194.8,106.7,-0.86,5454.6,2987.81,-88.1,0.2728,0.83372
MB2955,Rv2930,lipid metabolism,fadD26,NE,NE,fatty-acid-amp ligase fadd26 (fatty-acid-amp synthetase) (fatty-acid-amp synthase),36,266.1,337.2,0.34,38319.6,48557.29,71.1,0.5287,0.95112
MB2956,Rv2931,lipid metabolism,ppsA,NE,NE,PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSA,73,155.7,115.1,-0.43,45475.2,33621.86,-40.6,0.165,0.7474
MB2957,Rv2932,lipid metabolism,ppsB,NE,NE,PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSB,64,169.6,85.5,-0.98,43430,21896.93,-84.1,0.0067,0.34746
MB2958,Rv2933,lipid metabolism,ppsC,NE,NE,PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSC,73,128.5,111.6,-0.2,37516,32594.43,-16.9,0.5841,0.98363
MB2959,Rv2934,lipid metabolism,ppsD,NE,NE,PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSD,58,145.6,175.1,0.26,33780.5,40613.45,29.5,0.5004,0.93536
MB2960,Rv2935,lipid metabolism,ppsE,NE,NE,PHENOLPTHIOCEROL SYNTHESIS TYPE-I POLYKETIDE SYNTHASE PPSE,65,189.2,191.2,0.01,49201,49716.28,2,0.9761,1
MB2961,Rv2936,cell wall and cell processes,drrA,NE,NE,daunorubicin-dim-transport atp-binding protein abc transporter drra,17,211.6,244.3,0.21,14387.8,16610.35,32.7,0.7865,1
MB2962,Rv2937,cell wall and cell processes,drrB,NE,NE,daunorubicin-dim-transport integral membrane protein abc transporter drrb,23,63.7,92.8,0.54,5858.7,8538.27,29.1,0.4888,0.93536
