#utest
#Console: python3 /Users/jenniferstiens/anaconda3/envs/python38/bin/transit utest output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig ref_seqs/Mbovis_LT708304.prot_table output/utest_all_perm_ttr.tsv -n TTR
#Control Data: b'output/permissive_wigs/perm_B1_insertions.wig,output/permissive_wigs/perm_D1_insertions.wig,output/permissive_wigs/perm_B2_insertions.wig,output/permissive_wigs/perm_D2_insertions.wig'
#Experimental Data: b'output/permissive_wigs/perm_A1_insertions.wig,output/permissive_wigs/perm_C1_insertions.wig,output/permissive_wigs/perm_A2_insertions.wig,output/permissive_wigs/perm_C2_insertions.wig'
#Annotation path: b'ref_seqs/Mbovis_LT708304.prot_table'
#Time: 8.193161964416504
#Orf	Name	Desc	Sites	Mean Ctrl	Mean Exp	log2FC	U-Statistic	p-value	Adj. p-value
MB3002c	NA	probable transposase	11	93.9	118.2	0.33	681.00	0.68523	0.94970
MB3003c	NA	PROBABLE RESOLVASE	8	377.9	645.0	0.77	562.00	0.47101	0.78728
MB3004	NA	POSSIBLE CONSERVED SECRETED PROTEIN	4	59.5	66.9	0.17	66.00	0.71505	0.96767
MB3005c	ddlA	PROBABLE D-ALANINE--D-ALANINE LIGASE DDLA (D-ALANYLALANINE SYNTHETASE) (D-ALA-D-ALA LIGASE)	13	182.6	3.2	-5.82	10.00	0.64455	0.92297
MB3006c	gpdA2	PROBABLE GLYCEROL-3-PHOSPHATE DEHYDROGENASE [NAD(P)+] GPDA2 (NAD(P)H-DEPENDENT GLYCEROL-3-PHOSPHATE DEHYDROGENASE)	11	45.4	170.7	1.91	581.50	0.41417	0.76116
MB3007	cofC	2-phospho-L-lactate guanylyltransferase (EC 2.7.7.68)	5	48.8	56.9	0.22	62.00	0.54028	0.84510
MB3008	ppk	polyphosphate kinase ppk (polyphosphoric acid kinase) (atp-polyphosphate phosphotransferase)	31	47.9	58.9	0.30	4313.00	0.33774	0.68963
MB3009	mutT1	POSSIBLE HYDROLASE MUTT1	14	19.1	11.8	-0.69	655.00	0.92951	1.00000
MB3010c	hupB	dna-binding protein hu homolog hupb (histone-like protein) (hlp) (21-kda laminin-2-binding protein)	8	0.0	1.1	1.04	6.00	0.45325	0.77196
MB3011c	leuD	PROBABLE 3-ISOPROPYLMALATE DEHYDRATASE (SMALL SUBUNIT) LEUD (ISOPROPYLMALATE ISOMERASE) (ALPHA-IPM ISOMERASE) (IPMI)	10	29.8	0.8	-5.21	36.00	0.58974	0.88073
MB3012c	leuC	PROBABLE 3-ISOPROPYLMALATE DEHYDRATASE (LARGE SUBUNIT) LEUC (ISOPROPYLMALATE ISOMERASE) (ALPHA-IPM ISOMERASE) (IPMI)	10	180.3	53.9	-1.74	202.00	0.95369	1.00000
MB3013	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN	7	439.7	0.0	-8.78	44.00	0.07645	0.33870
MB3014c	NA	HYPOTHETICAL PROTEIN	15	155.1	196.0	0.34	1545.50	0.19422	0.52660
MB3015	NA	Pyridoxamine 5-phosphate oxidase	5	432.7	1392.2	1.69	124.50	0.90990	1.00000
MB3016c	gltS	glutamyl-trna synthetase glts (glutamate--trna ligase) (glutamyl-trna synthase) (glurs)	18	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3017c	NA	POSSIBLE 2-HYDROXYHEPTA-2,4-DIENE-1,7-DIOATE ISOMERASE (HHDD ISOMERASE)	9	36.2	72.3	1.00	22.50	0.31269	0.66451
MB3018	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	17	57.0	249.5	2.13	2052.50	0.98323	1.00000
MB3019c	leuB	probable 3-isopropylmalate dehydrogenase leub (beta-ipm dehydrogenase) (imdh) (3-ipm-dh)	9	7.5	22.1	1.56	229.00	0.24442	0.58815
MB3020c	serA1	PROBABLE D-3-PHOSPHOGLYCERATE DEHYDROGENASE SERA1 (PGDH)	10	42.3	38.9	-0.12	175.00	0.45424	0.77300
MB3021	NA	POSSIBLE ALANINE RICH DEHYDROGENASE	13	119.6	33.3	-1.84	756.00	0.18350	0.51604
MB3022	NA	HYPOTHETICAL PROTEIN	4	411.3	165.5	-1.31	73.00	0.97539	1.00000
MB3023c	NA	Signal transduction histidine kinase	2	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3024	lppY	PROBABLE CONSERVED LIPOPROTEIN LPPY	11	388.6	595.2	0.62	28.00	0.70907	0.96337
MB3025	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	8	249.0	125.4	-0.99	120.50	0.77796	1.00000
MB3026c	ilvC	PROBABLE KETOL-ACID REDUCTOISOMERASE ILVC (Acetohydroxy-acid isomeroreductase) (Alpha-keto-beta-hydroxylacil reductoisomerase)	12	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3027c	ilvN	PROBABLE ACETOLACTATE SYNTHASE (SMALL SUBUNIT) ILVN (ACETOHYDROXY-ACID SYNTHASE) (AHAS) (ALS)	3	0.0	100.5	6.67	16.00	0.03247	0.23009
MB3028c	ilvB1	acetolactate synthase (large subunit) ilvb1 (acetohydroxy-acid synthase)	14	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3029	cfp6	LOW MOLECULAR WEIGHT PROTEIN ANTIGEN 6 (CFP-6)	3	118.6	55.6	-1.09	11.00	0.45960	0.77785
MB3030c	NA	Membrane protein 2, distant similarity to thiosulphate:quinone oxidoreductase DoxD	20	257.3	444.2	0.79	3144.00	0.84611	1.00000
MB3031	lppZ	PROBABLE CONSERVED LIPOPROTEIN LPPZ	16	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3032c	NA	POSSIBLE OXIDOREDUCTASE	8	163.9	454.4	1.47	620.00	0.13665	0.45418
MB3033	NA	HYPOTHETICAL PROTEIN	16	260.2	145.6	-0.84	1964.00	0.37880	0.72859
MB3034c	gatB	PROBABLE GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE (SUBUNIT B) GATB (Glu-ADT SUBUNIT B)	20	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3035c	pfkA	PROBABLE 6-PHOSPHOFRUCTOKINASE PFKA (PHOSPHOHEXOKINASE) (PHOSPHOFRUCTOKINASE)	12	124.9	140.3	0.17	698.50	0.53616	0.84061
MB3036c	gatA	PROBABLE GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE (SUBUNIT A) GATA (Glu-ADT SUBUNIT A)	22	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3037c	gatC	PROBABLE GLUTAMYL-TRNA(GLN) AMIDOTRANSFERASE (SUBUNIT C) GATC (Glu-ADT SUBUNIT C)	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3038	NA	Amino acid-binding ACT protein	8	280.1	378.1	0.43	494.00	0.81042	1.00000
MB3039c	ligA	dna ligase [nad dependent] liga (polydeoxyribonucleotide synthase [nad+])	13	10.4	46.9	2.17	344.00	0.31802	0.66697
MB3040c	NA	Methionine synthase, vitamin-B12 independent, putative	7	81.4	15.6	-2.39	384.00	0.02574	0.20585
MB3041	lpqA	PROBABLE LIPOPROTEIN LPQA	11	241.8	249.0	0.04	1118.00	0.00135	0.04935
MB3042c	esxQ	esat-6 like protein esxq (tb12.9) (esat-6 like protein 8)	9	328.6	330.2	0.01	726.00	0.37377	0.72501
MB3043c	PPE46	ppe family protein ppe46	26	186.2	287.5	0.63	1351.00	0.99734	1.00000
MB3044c	PE27A	pe family protein pe27a	0	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3045c	esxR	secreted esat-6 like protein esxr (tb10.3) (esat-6 like protein 9)	8	350.8	123.7	-1.50	602.50	0.20200	0.53615
MB3046c	esxS	esat-6 like protein esxs	7	51.6	1.0	-5.67	96.00	0.11878	0.42558
MB3047c	PPE47	ppe family protein ppe47	25	203.8	234.7	0.20	1096.00	0.27171	0.62244
MB3048c	PE29	pe family protein pe29	6	283.5	122.1	-1.22	314.00	0.58277	0.87647
MB3049c	NA	PROBABLE TRANSPOSASE	13	142.3	212.1	0.58	861.50	0.03318	0.23178
MB3050c	trmU	PROBABLE tRNA (5-METHYLAMINOMETHYL-2-THIOURIDYLATE)-METHYLTRANSFERASE TRMU	10	26.3	138.4	2.39	471.00	0.49285	0.80152
MB3051c	iscS	cysteine desulfurase iscs (nifs protein homolog) (nitrogenase metalloclusters biosynthesis protein nifs)	14	1.9	4.9	1.36	312.00	0.39906	0.75009
MB3052c	NA	Acyl-CoA:1-acyl-sn-glycerol-3-phosphate acyltransferase (EC 2.3.1.51)	9	723.6	110.5	-2.71	353.00	0.17916	0.51434
MB3053c	NA	gcn5-related n-acetyltransferase	18	213.3	311.3	0.55	2265.00	0.01076	0.13909
MB3054c	fixB	PROBABLE ELECTRON TRANSFER FLAVOPROTEIN (ALPHA-SUBUNIT) FIXB (ALPHA-ETF) (ELECTRON TRANSFER FLAVOPROTEIN LARGE SUBUNIT) (ETFLS)	11	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3055c	fixA	PROBABLE ELECTRON TRANSFER FLAVOPROTEIN (BETA-SUBUNIT) FIXA (BETA-ETF) (ELECTRON TRANSFER FLAVOPROTEIN SMALL SUBUNIT) (ETFSS)	7	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3056	NA	SAM-dependent methyltransferase	8	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3057	NA	Glycogen branching enzyme, GH-57-type, archaeal (EC 2.4.1.18)	16	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3058	NA	alpha (1->4) glucosyltransferase	9	0.4	0.0	-0.48	10.00	0.45325	0.77196
MB3058A	NA	Conserved protein	6	477.1	224.3	-1.09	139.50	0.64756	0.92509
MB3059	NA	unknown protein	2	516.8	388.2	-0.41	41.00	0.37062	0.72336
MB3060c	NA	POSSIBLE TRANSFERASE	13	365.7	330.8	-0.14	78.00	0.74785	0.98728
MB3061	NA	FOG- WD40-like repeat	15	20.6	7.3	-1.49	73.00	0.96454	1.00000
MB3062c	TB22.2	PROBABLE CONSERVED SECRETED PROTEIN TB22.2	16	192.3	366.7	0.93	1967.00	0.36063	0.71333
MB3063c	NA	SAM-dependent methyltransferase	11	323.7	90.3	-1.84	1387.00	0.00020	0.02048
MB3064c	NA	Methyltransferase Rv3038c, type 11	14	49.2	6.4	-2.93	36.00	0.69460	0.95729
MB3065c	echA17	PROBABLE ENOYL-COA HYDRATASE ECHA17 (CROTONASE) (UNSATURED ACYL-CoA HYDRATASE) (ENOYL HYDRASE)	10	20.2	21.2	0.07	126.00	0.94317	1.00000
MB3066c	NA	NUDIX hydrolase-like protein SCO3573	12	55.0	291.4	2.41	293.50	0.08603	0.35842
MB3067c	NA	PROBABLE CONSERVED ATP-BINDING PROTEIN ABC TRANSPORTER	9	99.9	61.9	-0.69	785.00	0.08868	0.36232
MB3068c	serB2	PROBABLE PHOSPHOSERINE PHOSPHATASE SERB2 (PSP) (O-PHOSPHOSERINE PHOSPHOHYDROLASE) (PSPASE)	9	1.0	41.6	5.39	123.50	0.82483	1.00000
MB3069c	ctaD	PROBABLE CYTOCHROME C OXIDASE POLYPEPTIDE I CTAD (CYTOCHROME AA3 SUBUNIT 1)	26	123.6	0.9	-7.06	54.00	0.01284	0.14725
MB3070	fecB	PROBABLE FEIII-DICITRATE-BINDING PERIPLASMIC LIPOPROTEIN FECB	14	17.1	0.3	-5.66	154.00	0.12841	0.43959
MB3071	adhC	PROBABLE NADP-DEPENDENT ALCOHOL DEHYDROGENASE ADHC	17	373.9	115.0	-1.70	2600.00	0.00616	0.10538
MB3072c	NA	conserved protein	1	15.8	0.4	-5.25	13.50	0.12409	0.43161
MB3073c	NA	HYPOTHETICAL PROTEIN	5	237.5	175.5	-0.44	145.50	0.51037	0.81761
MB3074c	nrdF2	RIBONUCLEOSIDE-DIPHOSPHATE REDUCTASE (BETA CHAIN) NRDF2 (RIBONUCLEOTIDE REDUCTASE SMALL SUBUNIT) (R2F PROTEIN)	22	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3075c	NA	PROBABLE MONOOXYGENASE	33	339.5	371.8	0.13	7684.00	0.36177	0.71511
MB3076c	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY ASNC-FAMILY)	5	584.8	79.2	-2.88	183.50	0.03036	0.22122
MB3077c	nrdE	ribonucleoside-diphosphate reductase (alpha chain) nrde (ribonucleotide reductase small subunit) (r1f protein)	52	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3078c	nrdI	PROBABLE NRDI PROTEIN	12	138.5	190.2	0.46	1101.00	0.69601	0.95811
MB3079c	nrdH	PROBABLE GLUTAREDOXIN ELECTRON TRANSPORT COMPONENT OF NRDEF (GLUTAREDOXIN-LIKE PROTEIN) NRDH	8	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3080c	NA	NADPH:quinone oxidoreductase	6	199.9	1692.1	3.08	164.00	0.01053	0.13836
MB3081	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)	6	394.3	118.7	-1.73	324.50	0.43492	0.77196
MB3082	dinP	possible dna-damage-inducible protein p dinp (dna polymerase v) (pol iv 2) (dna nucleotidyltransferase (dna-directed))	17	418.9	736.2	0.81	1840.00	0.31729	0.66697
MB3083c	NA	PROBABLE SHORT CHAIN ALCOHOL DEHYDROGENASE/REDUCTASE	17	316.5	379.4	0.26	3155.00	0.00019	0.02048
MB3084c	NA	POSSIBLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY TETR-FAMILY)	8	740.6	213.4	-1.79	663.00	0.03563	0.24250
MB3085	cyp136	PROBABLE CYTOCHROME P450 136 CYP136	22	428.7	458.2	0.10	3992.00	0.72093	0.97288
MB3086c	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY GNTR-FAMILY)	19	200.4	71.1	-1.50	2896.00	0.00574	0.10188
MB3087c	fadE22b	PROBABLE ACYL-COA DEHYDROGENASE FADE22b [SECOND PART]	16	184.7	118.8	-0.64	2207.00	0.01224	0.14541
MB3088c	fadE22a	PROBABLE ACYL-COA DEHYDROGENASE FADE22a [FIRST PART]	4	153.9	167.2	0.12	131.00	0.91862	1.00000
MB3089	ligB	probable atp-dependent dna ligase ligb (polydeoxyribonucleotide synthase [atp]) (polynucleotide ligase [atp]) (sealase) (dna repair protein) (dna joinase)	17	213.3	524.0	1.30	1725.00	0.31995	0.66952
MB3090	cstA	PROBABLE CARBON STARVATION PROTEIN A HOMOLOG CSTA	28	303.4	234.1	-0.37	7240.00	0.00162	0.05526
MB3091c	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	9	280.8	229.9	-0.29	592.00	0.27940	0.63086
MB3092	mmr	MULTIDRUGS-TRANSPORT INTEGRAL MEMBRANE PROTEIN MMR	9	279.2	268.4	-0.06	408.00	0.79413	1.00000
MB3093	NA	PROBABLE TRANSCRIPTIONAL REGULATORY PROTEIN (PROBABLY DEOR-FAMILY)	8	421.1	267.5	-0.65	403.00	0.86068	1.00000
MB3094	NA	CONSERVED HYPOTHETICAL PROTEIN	7	240.6	125.1	-0.94	536.00	0.01059	0.13836
MB3095c	pgmA	PROBABLE PHOSPHOGLUCOMUTASE PGMA (GLUCOSE PHOSPHOMUTASE) (PGM)	29	211.4	254.8	0.27	6958.50	0.01070	0.13873
MB3096	NA	PROBABLE CONSERVED TRANSMEMBRANE PROTEIN	6	275.3	75.4	-1.87	183.00	0.03347	0.23325
MB3097	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	9	200.9	321.5	0.68	577.00	0.35765	0.71056
MB3098	NA	CONSERVED HYPOTHETICAL PROTEIN	14	133.3	93.6	-0.51	1445.00	0.01877	0.17613
MB3099c	NA	Probable F420-dependent oxidoreductase family protein	8	129.3	137.8	0.09	454.00	0.29621	0.65296
MB3100c	NA	DUF488 family protein SAV0238	4	73.2	55.8	-0.39	96.50	0.12184	0.43067
MB3101	NA	CONSERVED 13E12 REPEAT FAMILY PROTEIN	14	191.7	162.5	-0.24	947.00	0.85680	1.00000
MB3102c	NA	Similar to citrate lyase beta chain, 3	12	316.1	380.4	0.27	707.00	0.34134	0.69414
MB3103	NA	Cyclase/Dehydrase	4	252.3	216.1	-0.22	43.00	0.22431	0.56014
MB3104	NA	POSSIBLE HYDROLASE	33	198.0	169.5	-0.22	7321.00	0.81226	1.00000
MB3105	hab	PROBABLE HYDROXYLAMINOBENZENE MUTASE HAB	5	308.4	60.8	-2.34	94.00	0.19124	0.52338
MB3106c	NA	Probable F420-dependent oxidoreductase family protein	15	176.7	310.2	0.81	1299.00	0.25516	0.60119
MB3107c	pknK	serine/threonine-protein kinase transcriptional regulatory protein pknk (protein kinase k) (stpk k)	30	149.2	73.5	-1.02	6655.50	0.00130	0.04879
MB3108	NA	CONSERVED HYPOTHETICAL PROTEIN	14	19.1	34.1	0.83	824.00	0.78583	1.00000
MB3109c	virS	VIRULENCE-REGULATING TRANSCRIPTIONAL REGULATOR VIRS (ARAC/XYLS FAMILY)	18	76.5	176.9	1.21	1608.00	0.07328	0.33477
MB3110	NA	PROBABLE MONOOXYGENASE (HYDROXYLASE)	25	135.4	57.3	-1.24	4944.00	0.00043	0.03162
MB3111	lipR	PROBABLE ACETYL-HYDROLASE/ESTERASE LIPR	13	168.3	67.2	-1.32	818.00	0.03299	0.23135
MB3112	NA	PROBABLE SHORT-CHAIN TYPE DEHYDROGENASE/REDUCTASE	4	21.5	0.8	-4.71	166.50	0.08139	0.34950
MB3113	adhD	PROBABLE ZINC-TYPE ALCOHOL DEHYDROGENASE ADHD (ALDEHYDE REDUCTASE)	11	160.0	231.0	0.53	737.00	0.53420	0.83961
MB3114	NA	possible triacylglycerol synthase (diacylglycerol acyltransferase)	14	212.3	218.0	0.04	1177.50	0.85135	1.00000
MB3115	tgs4	putative triacylglycerol synthase (diacylglycerol acyltransferase) tgs4	13	291.5	78.2	-1.90	1235.50	0.01367	0.15322
MB3116	fadD13	PROBABLE CHAIN-FATTY-ACID-CoA LIGASE FADD13 (FATTY-ACYL-CoA SYNTHETASE)	20	140.8	273.7	0.96	2425.00	0.59702	0.88746
MB3117	NA	unknown alanine and valine rich protein	8	259.5	203.8	-0.35	536.00	0.74862	0.98729
MB3118	NA	conserved protein	14	467.4	317.4	-0.56	1807.00	0.15216	0.47747
MB3119c	NA	PROBABLE CONSERVED INTEGRAL MEMBRANE PROTEIN	8	255.7	775.9	1.60	375.00	0.78117	1.00000
MB3120c	NA	HYPOTHETICAL OXIDOREDUCTASE	14	156.1	221.7	0.51	992.00	0.83132	1.00000
MB3121c	NA	Acyl-CoA dehydrogenase/oxidase domain protein	9	520.7	324.7	-0.68	670.00	0.03212	0.23009
MB3122	NA	HYPOTHETICAL TRANSCRIPTIONAL REGULATORY PROTEIN	8	240.1	436.1	0.86	564.50	0.46577	0.78273
MB3123	NA	putative cellulase family	15	548.8	331.3	-0.73	1695.00	0.45195	0.77196
MB3124c	lipy	pe-pgrs family protein, triacylglycerol lipase lipy (esterase/lipase) (triglyceride lipase) (tributyrase)	26	296.5	587.4	0.99	5477.00	0.87170	1.00000
MB3125A	NA	PemK-like protein	7	866.6	755.5	-0.20	389.00	0.96686	1.00000
MB3125c	NA	HYPOTHETICAL PROTEIN	8	99.5	172.0	0.79	393.50	0.02277	0.19225
MB3126c	NA	conserved protein	6	188.0	57.9	-1.70	373.00	0.05748	0.29726
MB3127c	smpB	PROBABLE SSRA-BINDING PROTEIN SMPB	4	0.0	91.0	6.52	6.00	0.45325	0.77196
MB3128c	ftsX	PUTATIVE CELL DIVISION PROTEIN FTSX (SEPTATION COMPONENT-TRANSPORT INTEGRAL MEMBRANE PROTEIN ABC TRANSPORTER)	18	16.3	72.3	2.15	945.50	0.05373	0.29173
MB3129c	ftsE	PUTATIVE CELL DIVISION ATP-BINDING PROTEIN FTSE (SEPTATION COMPONENT-TRANSPORT ATP-BINDING PROTEIN ABC TRANSPORTER)	8	29.3	16.1	-0.86	276.00	0.77291	1.00000
MB3130c	NA	HYPOTHETICAL PROLINE-RICH PROTEIN	6	260.2	316.7	0.28	304.00	0.73848	0.98391
MB3131c	NA	POSSIBLE CONSERVED TRANSMEMBRANE PROTEIN	11	121.2	177.3	0.55	739.00	0.25060	0.59419
MB3132c	prfB	PROBABLE PEPTIDE CHAIN RELEASE FACTOR 2 PRFB (RF-2)	14	447.9	160.9	-1.48	9.00	0.87778	1.00000
MB3133	fprA	nadph:adrenodoxin oxidoreductase fpra (nadph-ferredoxin reductase)	15	251.4	718.2	1.51	1632.00	0.70100	0.95886
MB3134c	agpS	POSSIBLE ALKYLDIHYDROXYACETONEPHOSPHATE SYNTHASE AGPS (ALKYL-DHAP SYNTHASE) (ALKYLGLYCERONE-PHOSPHATE SYNTHASE)	22	56.9	81.5	0.52	3680.00	0.05601	0.29726
MB3135	NA	HYPOTHETICAL PROTEIN	7	27.6	100.7	1.87	252.00	0.06697	0.32340
MB3136	moaA1	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN A MOAA1	40	46.0	70.3	0.61	1653.00	0.51221	0.81875
MB3137	moaB1	PROBABLE PTERIN-4-ALPHA-CARBINOLAMINE DEHYDRATASE MOAB1 (PHS) (4-ALPHA-HYDROXY-TETRAHYDROPTERIN DEHYDRATASE) (PTERIN-4-A-CARBINOLAMINE DEHYDRATASE) (PHENYLALANINE HYDROXYLASE-STIMULATING PROTEIN) (PHS) (PTERIN CARBINOLAMINE DEHYDRATASE) (PCD)	8	655.8	225.1	-1.54	237.00	0.31040	0.66259
MB3138	moaC1	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN C MOAC1	13	16.5	531.2	5.01	323.00	0.39648	0.74733
MB3139	moaD1	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN D MOAD1 (MOLYBDOPTERIN CONVERTING FACTOR SMALL SUBUNIT) (MOLYBDOPTERIN [MPT] CONVERTING FACTOR, SUBUNIT 1)	6	18.6	0.0	-4.30	10.00	0.45325	0.77196
MB3140	NA	POSSIBLE PHOSPHATASE	8	27.0	1.1	-4.62	151.50	0.25439	0.60070
MB3141	NA	Cytosine/adenosine deaminases	8	10.3	19.9	0.94	208.00	0.79654	1.00000
MB3142	NA	PROBABLE TRANSPOSASE	13	139.6	210.2	0.59	887.00	0.05224	0.28866
MB3143	moeB2	PROBABLE MOLYBDENUM COFACTOR BIOSYNTHESIS PROTEIN MOEB2 (MPT-SYNTHASE SULFURYLASE) (MOLYBDOPTERIN SYNTHASE SULPHURYLASE)	25	189.9	418.4	1.14	3724.00	0.50149	0.81046
MB3144	cyp141	probable cytochrome p450 141 cyp141	20	307.0	236.4	-0.38	3395.00	0.05904	0.30018
MB3145	NA	HYPOTHETICAL PROTEIN	7	348.1	319.6	-0.12	380.00	0.05015	0.28302
MB3146	NA	HYPOTHETICAL PROTEIN	2	267.6	86.2	-1.63	42.50	0.29327	0.65021
MB3147	moar1	transcriptional regulatory protein moar1	28	245.7	61.4	-2.00	2830.00	0.01121	0.14128
MB3148c	PPE49	ppe family protein ppe49	17	254.3	191.4	-0.41	2467.00	0.03300	0.23135
MB3149c	NA	HYPOTHETICAL PROTEIN	3	0.9	75.8	6.36	5.00	0.40835	0.75481
MB3150	NA	Nitroreductase	17	80.6	283.2	1.81	1512.00	0.18963	0.52189
MB3151c	NA	CONSERVED HYPOTHETICAL PROTEIN	7	191.8	130.8	-0.55	76.00	0.83172	1.00000
MB3152c	NA	CONSERVED HYPOTHETICAL PROTEIN	10	18.1	64.4	1.83	215.00	0.60602	0.89325
MB3153	NA	Putative DNA-binding protein	4	29.7	584.3	4.30	61.00	0.45043	0.77196
MB3154c	tgs1	triacylglycerol synthase (diacylglycerol acyltransferase) tgs1	25	92.2	54.5	-0.76	4213.00	0.95071	1.00000
MB3155	NA	Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2	14	150.1	99.2	-0.60	1386.00	0.05087	0.28442
MB3156c	devS	TWO COMPONENT SENSOR HISTIDINE KINASE DEVS	28	81.5	178.8	1.13	2046.00	0.12152	0.43041
MB3157c	devR	TWO COMPONENT TRANSCRIPTIONAL REGULATORY PROTEIN DEVR (PROBABLY LUXR/UHPA-FAMILY)	12	156.1	75.7	-1.04	772.00	0.11693	0.42268
MB3158c	NA	universal stress protein family protein	9	456.4	334.3	-0.45	835.00	0.02558	0.20573
MB3159	PPE50	ppe family protein ppe50	22	70.6	81.6	0.21	3521.50	0.00878	0.12828
MB3160	PPE51	ppe family protein ppe51	21	199.9	149.9	-0.42	2667.00	0.74460	0.98703
MB3160A	NA	Conserved protein	11	138.3	132.5	-0.06	975.00	0.07820	0.34381
MB3161	NA	PROBABLE MONOPHOSPHATASE	7	0.0	0.0	0.00	0.00	1.00000	1.00000
MB3162	pflA	PROBABLE PYRUVATE FORMATE LYASE ACTIVATING PROTEIN PFLA (FORMATE ACETYLTRANSFERASE ACTIVATING ENZYME) ([PYRUVATE FORMATE-LYASE] ACTIVATING ENZYME)	22	174.1	273.3	0.65	3277.00	0.12696	0.43802
MB3163	fadE24	PROBABLE ACYL-CoA DEHYDROGENASE FADE24	19	131.2	156.5	0.25	2019.50	0.88657	1.00000
MB3164	fadE23	PROBABLE ACYL-CoA DEHYDROGENASE FADE23	16	117.1	330.7	1.50	2130.00	0.67357	0.94244
MB3165	fadB4	PROBABLE NADPH QUINONE OXIDOREDUCTASE FADB4 (NADPH:QUINONE REDUCTASE) (ZETA-CRYSTALLIN)	16	153.0	219.9	0.52	1211.00	0.62976	0.91369
MB3166c	NA	HYPOTHETICAL PROTEIN	11	192.4	247.1	0.36	1279.50	0.00717	0.11464
MB3167	NA	PROBABLE RESPONSE REGULATOR	3	64.4	4.2	-3.94	47.50	0.07027	0.32775
MB3168c	PPE52	ppe family protein ppe52	14	171.6	168.8	-0.02	1556.00	0.14107	0.46169
MB3169	nuoA	PROBABLE NADH DEHYDROGENASE I (CHAIN A) NUOA (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN A)	12	61.9	47.3	-0.39	1198.50	0.71007	0.96416
MB3170	nuoB	PROBABLE NADH DEHYDROGENASE I (CHAIN B) NUOB (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN B)	8	78.1	242.0	1.63	195.00	0.04892	0.27990
MB3171	nuoC	PROBABLE NADH DEHYDROGENASE I (CHAIN C) NUOC (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN C)	13	35.3	0.5	-6.29	260.50	0.02018	0.17944
MB3172	nuoD	PROBABLE NADH DEHYDROGENASE I (CHAIN D) NUOD (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN D)	22	6.9	30.2	2.13	1250.00	0.29326	0.65021
MB3173	nuoE	PROBABLE NADH DEHYDROGENASE I (CHAIN E) NUOE (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN E)	8	65.4	23.4	-1.48	295.00	0.87043	1.00000
MB3174	nuoF	PROBABLE NADH DEHYDROGENASE I (CHAIN F) NUOF (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN F)	23	68.2	14.5	-2.24	3412.00	0.01600	0.16147
MB3175	nuoG	PROBABLE NADH DEHYDROGENASE I (CHAIN G) NUOG (NADH-UBIQUINONE OXIDOREDUCTASE CHAIN G)	23	17.2	71.2	2.05	1073.00	0.48387	0.79773
